Date,Offline_Spend,Online_Spend,Total_Marketing_Spend
2019-02-24,3500,2280.26,5780.26
2019-02-25,3500,1469.84,4969.84
2019-02-26,4000,1951.71,5951.71
2019-02-27,4000,4349.02,8349.02
2019-02-28,4000,1817.18,5817.18
2019-03-01,4000,1880.22,5880.22
2019-03-02,4000,1258.6,5258.6
2019-03-03,4000,2066.29,6066.29
2019-03-04,4000,642.34,4642.34
2019-03-05,2500,1153.36,3653.3599999999997
2019-03-06,2500,1827.02,4327.02
2019-03-07,2500,2335.35,4835.35
2019-03-08,2500,1918.53,4418.53
2019-03-09,2500,1768.28,4268.28
2019-03-10,2500,1294.22,3794.2200000000003
2019-03-11,2500,973.15,3473.15
2019-03-12,2000,731.1,2731.1
2019-03-13,2000,1498.01,3498.01
2019-03-14,2000,1141.27,3141.27
2019-03-15,2000,1684.18,3684.1800000000003
2019-03-16,2000,2435.12,4435.12
2019-03-17,2000,1837.87,3837.87
2019-03-18,2000,659.57,2659.57
2019-03-19,2000,982.2,2982.2
2019-03-20,2000,1542.81,3542.81
2019-03-21,2000,2365.81,4365.8099999999995
2019-03-22,2000,2523.41,4523.41
2019-03-23,2000,1736.63,3736.63
2019-03-24,2000,1984.0,3984.0
2019-03-25,2000,931.54,2931.54
2019-03-26,2000,1672.79,3672.79
2019-03-27,2000,2639.99,4639.99
2019-03-28,2000,1066.12,3066.12
2019-03-29,2000,1330.54,3330.54
2019-03-30,2000,692.02,2692.02
2019-03-31,2000,2177.75,4177.75
2019-04-01,2000,4019.93,6019.93
2019-04-02,2500,1909.27,4409.27
2019-04-03,2500,1748.14,4248.14
2019-04-04,2500,1136.06,3636.06
2019-04-05,2500,2342.68,4842.68
2019-04-06,2500,2307.25,4807.25
2019-04-07,2500,2719.46,5219.46
2019-04-08,2500,2200.69,4700.6900000000005
2019-04-09,3000,1740.91,4740.91
2019-04-10,3000,2143.39,5143.389999999999
2019-04-11,3000,804.85,3804.85
2019-04-12,3000,1631.25,4631.25
2019-04-13,3000,2872.23,5872.23
2019-04-14,3000,1747.0,4747.0
2019-04-15,3000,1593.58,4593.58
2019-04-16,4000,2168.04,6168.04
2019-04-17,4000,2526.49,6526.49
2019-04-18,4000,1476.58,5476.58
2019-04-19,4000,1754.92,5754.92
2019-04-20,4000,1330.34,5330.34
2019-04-21,4000,3078.84,7078.84
2019-04-22,4000,1608.26,5608.26
2019-04-23,3500,3107.11,6607.110000000001
2019-04-24,3500,1650.62,5150.62
2019-04-25,3500,620.94,4120.9400000000005
2019-04-26,3500,1363.31,4863.3099999999995
2019-04-27,3500,2056.17,5556.17
2019-04-28,3500,2019.73,5519.73
2019-04-29,3500,3549.13,7049.13
2019-04-30,3000,1799.66,4799.66
2019-05-01,3000,1108.88,4108.88
2019-05-02,3000,732.47,3732.4700000000003
2019-05-03,3000,2406.31,5406.3099999999995
2019-05-04,3000,2407.55,5407.55
2019-05-05,3000,1177.76,4177.76
2019-05-06,3000,2100.89,5100.889999999999
2019-05-07,3000,2271.0,5271.0
2019-05-08,3000,869.25,3869.25
2019-05-09,3000,1771.32,4771.32
2019-05-10,3000,1942.13,4942.13
2019-05-11,3000,1801.66,4801.66
2019-05-12,3000,2113.63,5113.63
2019-05-13,3000,2697.6,5697.6
2019-05-14,2500,2151.7,4651.7
2019-05-15,2500,682.42,3182.42
2019-05-16,2500,1605.63,4105.63
2019-05-17,2500,3052.49,5552.49
2019-05-18,2500,2805.79,5305.79
2019-05-19,2500,2331.31,4831.3099999999995
2019-05-20,2500,2298.34,4798.34
2019-05-21,1000,882.98,1882.98
2019-05-22,1000,979.08,1979.08
2019-05-23,1000,1196.03,2196.0299999999997
2019-05-24,1000,670.51,1670.51
2019-05-25,1000,2565.75,3565.75
2019-05-26,1000,2752.13,3752.13
2019-05-27,1000,1976.31,2976.31
2019-05-28,500,465.4,965.4
2019-05-29,500,670.64,1170.6399999999999
2019-05-30,500,1262.38,1762.38
2019-05-31,500,1010.3,1510.3
2019-06-01,500,320.25,820.25
2019-06-02,500,1622.46,2122.46
2019-06-03,500,1230.43,1730.43
2019-06-04,3500,2553.18,6053.18
2019-06-05,3500,3202.1,6702.1
2019-06-06,3500,1126.87,4626.87
2019-06-07,3500,1694.16,5194.16
2019-06-08,3500,1598.46,5098.46
2019-06-09,3500,2940.1,6440.1
2019-06-10,3500,1881.94,5381.9400000000005
2019-06-11,3000,1428.32,4428.32
2019-06-12,3000,2321.52,5321.52
2019-06-13,3000,1084.43,4084.4300000000003
2019-06-14,3000,1749.49,4749.49
2019-06-15,3000,1919.84,4919.84
2019-06-16,3000,2009.36,5009.36
2019-06-17,3000,2743.71,5743.71
2019-06-18,3500,2289.42,5789.42
2019-06-19,3500,2617.14,6117.139999999999
2019-06-20,3500,1019.59,4519.59
2019-06-21,3500,1473.98,4973.98
2019-06-22,3500,2217.07,5717.07
2019-06-23,3500,2283.08,5783.08
2019-06-24,3500,1975.15,5475.15
2019-06-25,1500,956.13,2456.13
2019-06-26,1500,1478.19,2978.19
2019-06-27,1500,649.14,2149.14
2019-06-28,1500,1709.84,3209.84
2019-06-29,1500,2652.13,4152.13
2019-06-30,1500,1070.66,2570.66
2019-07-01,1500,1932.64,3432.6400000000003
2019-07-02,2000,1108.03,3108.0299999999997
2019-07-03,2000,526.96,2526.96
2019-07-04,2000,2227.95,4227.95
2019-07-05,2000,2103.13,4103.13
2019-07-06,2000,2663.67,4663.67
2019-07-07,2000,2249.45,4249.45
2019-07-08,2000,2553.01,4553.01
2019-07-09,2500,1870.67,4370.67
2019-07-10,2500,1240.47,3740.4700000000003
2019-07-11,2500,1128.09,3628.09
2019-07-12,2500,923.4,3423.4
2019-07-13,2500,2489.36,4989.360000000001
2019-07-14,2500,2064.34,4564.34
2019-07-15,2500,1616.22,4116.22
2019-07-16,2000,1163.11,3163.1099999999997
2019-07-17,2000,1331.1,3331.1
2019-07-18,2000,2408.61,4408.610000000001
2019-07-19,2000,3444.24,5444.24
2019-07-20,2000,2097.22,4097.219999999999
2019-07-21,2000,1253.24,3253.24
2019-07-22,2000,2521.31,4521.3099999999995
2019-07-23,2500,1760.92,4260.92
2019-07-24,2500,850.14,3350.14
2019-07-25,2500,1169.05,3669.05
2019-07-26,2500,1627.19,4127.1900000000005
2019-07-27,2500,1151.7,3651.7
2019-07-28,2500,2425.35,4925.35
2019-07-29,2500,1353.73,3853.73
2019-07-30,1500,478.27,1978.27
2019-07-31,1500,985.28,2485.2799999999997
2019-08-01,1500,641.12,2141.12
2019-08-02,1500,2155.96,3655.96
2019-08-03,1500,2493.64,3993.64
2019-08-04,1500,2688.98,4188.98
2019-08-05,1500,2016.04,3516.04
2019-08-06,3000,1143.02,4143.02
2019-08-07,3000,1946.56,4946.5599999999995
2019-08-08,3000,1486.8,4486.8
2019-08-09,3000,2285.79,5285.79
2019-08-10,3000,1662.28,4662.28
2019-08-11,3000,2563.83,5563.83
2019-08-12,3000,1890.41,4890.41
2019-08-13,3500,1846.18,5346.18
2019-08-14,3500,1984.92,5484.92
2019-08-15,3500,1122.49,4622.49
2019-08-16,3500,1692.8,5192.8
2019-08-17,3500,3352.38,6852.38
2019-08-18,3500,1696.64,5196.64
2019-08-19,3500,2574.56,6074.5599999999995
2019-08-20,2500,1480.23,3980.23
2019-08-21,2500,1528.1,4028.1
2019-08-22,2500,1172.96,3672.96
2019-08-23,2500,1901.56,4401.5599999999995
2019-08-24,2500,2168.34,4668.34
2019-08-25,2500,1941.38,4441.38
2019-08-26,2500,1094.77,3594.77
2019-08-27,3000,2117.28,5117.280000000001
2019-08-28,3000,2178.57,5178.57
2019-08-29,3000,1056.67,4056.67
2019-08-30,3000,2223.08,5223.08
2019-08-31,3000,1296.81,4296.8099999999995
2019-09-01,3000,2424.97,5424.969999999999
2019-09-02,3000,1307.62,4307.62
2019-09-03,2500,2006.42,4506.42
2019-09-04,2500,1255.01,3755.01
2019-09-05,2500,1201.09,3701.09
2019-09-06,2500,1292.58,3792.58
2019-09-07,2500,2504.83,5004.83
2019-09-08,2500,1362.1,3862.1
2019-09-09,2500,1749.21,4249.21
2019-09-10,3000,2441.62,5441.62
2019-09-11,3000,1683.99,4683.99
2019-09-12,3000,1117.36,4117.36
2019-09-13,3000,1079.34,4079.34
2019-09-14,3000,1408.06,4408.0599999999995
2019-09-15,3000,2546.67,5546.67
2019-09-16,3000,1514.85,4514.85
2019-09-17,2500,2787.02,5287.02
2019-09-18,2500,2297.87,4797.87
2019-09-19,2500,1072.89,3572.8900000000003
2019-09-20,2500,1497.56,3997.56
2019-09-21,2500,1098.2,3598.2
2019-09-22,2500,1895.73,4395.73
2019-09-23,2500,2908.1,5408.1
2019-09-24,3000,1310.85,4310.85
2019-09-25,3000,1736.19,4736.1900000000005
2019-09-26,3000,767.58,3767.58
2019-09-27,3000,1660.74,4660.74
2019-09-28,3000,1394.83,4394.83
2019-09-29,3000,3713.1,6713.1
2019-09-30,3000,1478.16,4478.16
2019-10-01,3000,1991.44,4991.4400000000005
2019-10-02,3000,899.05,3899.05
2019-10-03,3000,2015.98,5015.98
2019-10-04,3000,2411.39,5411.389999999999
2019-10-05,3000,1511.94,4511.9400000000005
2019-10-06,3000,2230.76,5230.76
2019-10-07,3000,2154.78,5154.780000000001
2019-10-08,3500,1799.54,5299.54
2019-10-09,3500,734.31,4234.3099999999995
2019-10-10,3500,3705.5,7205.5
2019-10-11,3500,1450.93,4950.93
2019-10-12,3500,2839.32,6339.32
2019-10-13,3500,1353.34,4853.34
2019-10-14,3500,2114.35,5614.35
2019-10-15,2500,1317.89,3817.8900000000003
2019-10-16,2500,1218.6,3718.6
2019-10-17,2500,1783.56,4283.5599999999995
2019-10-18,2500,1150.51,3650.51
2019-10-19,2500,1631.19,4131.1900000000005
2019-10-20,2500,2827.25,5327.25
2019-10-21,2500,2848.39,5348.389999999999
2019-10-22,3500,1900.77,5400.77
2019-10-23,3500,1153.81,4653.8099999999995
2019-10-24,3500,2330.24,5830.24
2019-10-25,3500,1416.14,4916.14
2019-10-26,3500,2374.99,5874.99
2019-10-27,3500,3271.55,6771.55
2019-10-28,3500,1691.02,5191.02
2019-10-29,2000,1564.09,3564.09
2019-10-30,2000,780.15,2780.15
2019-10-31,2000,1251.87,3251.87
2019-11-01,2000,1224.01,3224.01
2019-11-02,2000,2437.58,4437.58
2019-11-03,2000,2294.09,4294.09
2019-11-04,2000,2478.79,4478.79
2019-11-05,3500,2019.94,5519.9400000000005
2019-11-06,3500,2546.6,6046.6
2019-11-07,3500,1252.63,4752.63
2019-11-08,3500,2087.49,5587.49
2019-11-09,3500,2926.69,6426.6900000000005
2019-11-10,3500,2431.73,5931.73
2019-11-11,3500,2643.34,6143.34
2019-11-12,4000,3390.82,7390.82
2019-11-13,4000,2400.95,6400.95
2019-11-14,4000,855.19,4855.1900000000005
2019-11-15,4000,737.08,4737.08
2019-11-16,4000,2716.48,6716.48
2019-11-17,4000,2964.3,6964.3
2019-11-18,4000,2825.78,6825.780000000001
2019-11-19,2500,1915.27,4415.27
2019-11-20,2500,1893.03,4393.03
2019-11-21,2500,484.9,2984.9
2019-11-22,2500,2071.31,4571.3099999999995
2019-11-23,2500,2972.6,5472.6
2019-11-24,2500,3875.08,6375.08
2019-11-25,2500,2643.59,5143.59
2019-11-26,3000,1642.31,4642.3099999999995
2019-11-27,3000,2819.58,5819.58
2019-11-28,3000,1375.26,4375.26
2019-11-29,3000,4556.93,7556.93
2019-11-30,3000,1661.61,4661.61
2019-12-01,3000,2358.1,5358.1
2019-12-02,3000,1907.19,4907.1900000000005
2019-12-03,3500,2011.57,5511.57
2019-12-04,3500,909.19,4409.1900000000005
2019-12-05,3500,2973.53,6473.530000000001
2019-12-06,3500,1957.58,5457.58
2019-12-07,3500,3396.14,6896.139999999999
2019-12-08,3500,2671.9,6171.9
2019-12-09,3500,2481.51,5981.51
2019-12-10,4000,3897.2,7897.2
2019-12-11,4000,1612.93,5612.93
2019-12-12,4000,2904.23,6904.23
2019-12-13,4000,3100.42,7100.42
2019-12-14,4000,3434.31,7434.3099999999995
2019-12-15,4000,3577.45,7577.45
2019-12-16,4000,3116.98,7116.98
2019-12-17,4500,1658.91,6158.91
2019-12-18,4500,663.46,5163.46
2019-12-19,4500,2829.71,7329.71
2019-12-20,4500,2876.39,7376.389999999999
2019-12-21,4500,3112.73,7612.73
2019-12-22,4500,2309.46,6809.46
2019-12-23,4500,2199.69,6699.6900000000005
2019-12-24,4000,3749.46,7749.46
2019-12-25,4000,1133.7,5133.7
2019-12-26,4000,1881.66,5881.66
2019-12-27,4000,3396.87,7396.87
2019-12-28,4000,3246.84,7246.84
2019-12-29,4000,2546.58,6546.58
2019-12-30,4000,674.31,4674.3099999999995
2019-12-31,4000,2058.75,6058.75
